retrived_at,province_id,city,state,country,pollution_aqi,polution_main,weather_tp,weather_pr,weather_hu,weather_ws,weather_wd
05/05/2023 11:17,TH-13,Khlong Luang,Pathum Thani,Thailand,52,p2,36,1007,64,4.12,240
05/05/2023 11:18,TH-16,Ban Mi,Lop Buri,Thailand,78,p2,36,1005,38,3.95,216
05/05/2023 11:18,TH-15,Ban Phraek,Phra Nakhon Si Ayutthaya,Thailand,93,p2,36,1005,36,4.14,213
05/05/2023 11:19,TH-21,Ban Khai,Rayong,Thailand,53,p2,34,1008,62,4.83,191
05/05/2023 11:19,TH-20,Na Kluea,Chon Buri,Thailand,74,p2,35,1007,61,4.92,212
05/05/2023 11:20,TH-52,Hang Chat,Lampang,Thailand,148,p2,37,1005,31,1.68,227
05/05/2023 11:20,TH-50,Chiang Mai,Chiang Mai,Thailand,138,p2,33,1008,49,2.06,0
05/05/2023 12:15,TH-11,Bang Phli,Samut Prakan,Thailand,63,p2,35,1007,55,2.57,0
05/05/2023 12:15,TH-10,Phra Nakhon,Bangkok,Thailand,61,p2,36,1005,38,3.78,181
05/05/2023 12:16,TH-12,Mueang Nonthaburi,Nonthaburi,Thailand,59,p2,37,1006,43,4.12,240
05/05/2023 12:17,TH-14,Ayutthaya,Phra Nakhon Si Ayutthaya,Thailand,80,p2,36,1004,32,3.93,215
05/05/2023 12:17,TH-13,Khlong Luang,Pathum Thani,Thailand,50,p2,38,1006,61,4.12,240
05/05/2023 12:18,TH-16,Ban Mi,Lop Buri,Thailand,78,p2,37,1004,34,3.67,222
05/05/2023 12:18,TH-15,Ban Phraek,Phra Nakhon Si Ayutthaya,Thailand,93,p2,37,1004,32,3.99,213
05/05/2023 12:19,TH-21,Ban Khai,Rayong,Thailand,53,p2,34,1007,63,5.18,191
05/05/2023 12:19,TH-20,Na Kluea,Chon Buri,Thailand,74,p2,35,1006,60,5.38,213
05/05/2023 12:20,TH-52,Hang Chat,Lampang,Thailand,138,p2,38,1004,27,1.99,225
05/05/2023 12:20,TH-50,Chiang Mai,Chiang Mai,Thailand,134,p2,35,1007,44,3.09,170
05/05/2023 13:15,TH-10,Phra Nakhon,Bangkok,Thailand,61,p2,39,1003,35,3.91,180
05/05/2023 13:16,TH-12,Mueang Nonthaburi,Nonthaburi,Thailand,55,p2,38,1005,39,4.63,230
05/05/2023 13:16,TH-11,Bang Phli,Samut Prakan,Thailand,63,p2,36,1006,55,5.14,180
05/05/2023 13:17,TH-14,Ayutthaya,Phra Nakhon Si Ayutthaya,Thailand,80,p2,36,1003,30,3.71,211
05/05/2023 13:17,TH-13,Khlong Luang,Pathum Thani,Thailand,45,p2,39,1005,60,4.63,230
05/05/2023 13:18,TH-16,Ban Mi,Lop Buri,Thailand,62,p2,37,1003,33,3.09,222
05/05/2023 13:18,TH-15,Ban Phraek,Phra Nakhon Si Ayutthaya,Thailand,83,p2,37,1003,31,3.65,206
05/05/2023 13:19,TH-21,Ban Khai,Rayong,Thailand,42,p2,35,1006,61,5.2,189
05/05/2023 13:19,TH-20,Na Kluea,Chon Buri,Thailand,72,p2,34,1005,60,5.18,216
05/05/2023 13:20,TH-50,Chiang Mai,Chiang Mai,Thailand,128,p2,36,1006,41,3.09,190
